SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-16-2017,Single Family Residential,508 Matterhorn Dr,Walnut Creek,CA,94598,796000,2,2.0,Heather Farms,1801,3750,1981,17,442,375,Sold,,,http://www.redfin.com/CA/Walnut-Creek/508-Matterhorn-Dr-94598/home/1884782,EBRD/CCAR/Bay East,40767147,N,Y,37.9185006,-122.0455449
PAST SALE,February-9-2017,Condo/Co-op,2832 Tice Creek Dr #2,Walnut Creek,CA,94595,475000,2,2.0,Rossmoor,1326,,1966,24,358,727,Sold,,,http://www.redfin.com/CA/Walnut-Creek/2832-Tice-Creek-Dr-94595/unit-2/home/1864506,EBRD/CCAR/Bay East,40766761,N,Y,37.861685,-122.069354
PAST SALE,,Single Family Residential,1158 Linden Dr,Concord,CA,94520,250000,3,2.0,,1575,11400,1955,,159,,,,,http://www.redfin.com/CA/Concord/1158-Linden-Dr-94520/home/1665157,,,N,Y,37.9547265,-122.0500013
PAST SALE,February-15-2017,Single Family Residential,2620 La Honda Ave,El Cerrito,CA,94530,1135000,3,2.0,Mira Vista Highl,1830,5390,1957,18,620,,Sold,,,http://www.redfin.com/CA/El-Cerrito/2620-La-Honda-Ave-94530/home/1573364,EBRD/CCAR/Bay East,40767813,N,Y,37.9369841,-122.3095707
PAST SALE,February-3-2017,Multi-Family (2-4 Unit),140 SANTA FE Ave,Richmond,CA,94801,750000,,,Richmond,5160,5160,1945,30,145,,Sold,,,http://www.redfin.com/CA/Richmond/140-Santa-Fe-Ave-94801/home/1588526,EBRD/CCAR/Bay East,40751042,N,Y,37.927288,-122.386404
PAST SALE,,Single Family Residential,3178 Meadowbrook Dr,Concord,CA,94519,370500,3,2.0,,1172,5400,1954,,316,,,,,http://www.redfin.com/CA/Concord/3178-Meadowbrook-Dr-94519/home/687545,,,N,Y,37.988527,-122.031165
PAST SALE,,Single Family Residential,4609 W Rishell Ct,Concord,CA,94521,400000,3,2.0,,1560,6970,1960,,256,,,,,http://www.redfin.com/CA/Concord/4609-W-Rishell-Ct-94521/home/1637294,,,N,Y,37.963368,-121.985054
PAST SALE,,Single Family Residential,3649 Granzotto Dr,Concord,CA,94519,44000,2,1.0,,1334,8000,1950,,33,,,,,http://www.redfin.com/CA/Concord/3649-Granzotto-Dr-94519/home/549168,,,N,Y,37.98551,-122.006415
PAST SALE,February-21-2017,Single Family Residential,656 Foxboro Ct,BRENTWOOD,CA,94513,650178,5,3.5,BRENTWOOD,3581,7204,2015,12,182,,Sold,,,http://www.redfin.com/CA/Brentwood/656-Foxboro-Ct-94513/home/23393090,MLSListings,ML81614953,N,Y,37.953798,-121.689191
PAST SALE,February-23-2017,Condo/Co-op,5 Lakeshore Ct,Richmond,CA,94804,320000,1,1.0,Richmond,690,2126,1989,10,464,360,Sold,,,http://www.redfin.com/CA/Richmond/5-Lakeshore-Ct-94804/unit-248/home/12128758,EBRD/CCAR/Bay East,40765425,N,Y,37.909718,-122.342946
PAST SALE,March-1-2017,Single Family Residential,797 9th St,Richmond,CA,94801,220000,2,1.0,Turpins Addition,929,5000,1950,4,237,,Sold,,,http://www.redfin.com/CA/Richmond/797-9th-St-94801/home/1176372,EBRD/CCAR/Bay East,40767267,N,Y,37.944201,-122.361045
PAST SALE,February-27-2017,Townhouse,1294 Shell Cir,Clayton,CA,94517-1221,608000,3,3.0,Chaparral Sprngs,1709,2640,1990,6,356,315,Sold,,,http://www.redfin.com/CA/Clayton/1294-Shell-Cir-94517/home/1246619,EBRD/CCAR/Bay East,40768621,N,Y,37.94433,-121.932761
PAST SALE,,Single Family Residential,1 Boardwalk Pl,Richmond,CA,94806,460000,3,2.0,,1605,8241,1990,,287,,,,,http://www.redfin.com/CA/Richmond/1-Boardwalk-Pl-94806/home/612057,,,N,Y,37.977688,-122.335663
PAST SALE,February-22-2017,Single Family Residential,2982 Vessing Rd,Pleasant Hill,CA,94523,755000,3,2.0,Pleasant Hill,2217,10920,1951,11,341,,Sold,,,http://www.redfin.com/CA/Pleasant-Hill/2982-Vessing-Rd-94523/home/1169765,EBRD/CCAR/Bay East,40768359,N,Y,37.928445,-122.081513
PAST SALE,,Single Family Residential,2933 Moran Ave,Richmond,CA,94804,165000,3,2.0,,1286,3078,1943,,128,,,,,http://www.redfin.com/CA/Richmond/2933-Moran-Ave-94804/home/1169113,,,N,Y,37.952217,-122.337999
PAST SALE,February-14-2017,Condo/Co-op,1115 Oakmont Dr #3,Walnut Creek,CA,94595,290000,2,1.0,Rossmoor,1054,,1964,19,275,638,Sold,,,http://www.redfin.com/CA/Walnut-Creek/1115-Oakmont-Dr-94595/unit-3/home/1533703,EBRD/CCAR/Bay East,40765476,N,Y,37.869683,-122.076385
PAST SALE,March-1-2017,Single Family Residential,89 Kings Oak Pl,Walnut Creek,CA,94597,1350000,5,3.0,Cherry Lane,2922,14280,1978,4,462,,Sold,,,http://www.redfin.com/CA/Walnut-Creek/89-Kings-Oak-Pl-94597/home/1311726,EBRD/CCAR/Bay East,40771882,N,Y,37.921138,-122.050741
PAST SALE,March-1-2017,Single Family Residential,1653 Armstrong Ct,Concord,CA,94521,475000,3,2.5,The Colony,1548,1890,1974,4,307,190,Sold,,,http://www.redfin.com/CA/Concord/1653-Armstrong-Ct-94521/home/1565393,EBRD/CCAR/Bay East,40768234,N,Y,37.968296,-121.988495
PAST SALE,March-1-2017,Townhouse,2432 Heatherleaf Ln,Martinez,CA,94553,542500,3,2.5,Sunrise Ridge,1515,2520,1983,4,358,140,Sold,,,http://www.redfin.com/CA/Martinez/2432-Heatherleaf-Ln-94553/home/829942,EBRD/CCAR/Bay East,40768577,N,Y,37.997936,-122.085305
PAST SALE,March-1-2017,Townhouse,522 Monarch Ridge Dr,Walnut Creek,CA,94597,845000,3,2.5,Summit Ridge,1798,1500,1978,4,470,530,Sold,,,http://www.redfin.com/CA/Walnut-Creek/522-Monarch-Ridge-Dr-94597/home/1732399,EBRD/CCAR/Bay East,40768465,N,Y,37.915641,-122.098138
PAST SALE,March-1-2017,Single Family Residential,2473 Acacia Dr,Concord,CA,94520,405000,2,1.0,Concord Vista,940,6300,1947,4,431,,Sold,,,http://www.redfin.com/CA/Concord/2473-Acacia-Dr-94520/home/680000,EBRD/CCAR/Bay East,40768572,N,Y,37.991296,-122.034052
PAST SALE,February-3-2017,Single Family Residential,5927 Golden Gate Ave,San Pablo,CA,94806,315000,3,2.0,San Pablo Hills!,1199,3210,1944,30,263,,Sold,,,http://www.redfin.com/CA/San-Pablo/5927-Golden-Gate-Ave-94806/home/574777,EBRD/CCAR/Bay East,40768750,N,Y,37.957249,-122.323893
PAST SALE,February-28-2017,Single Family Residential,944 Mohr Ln,Concord,CA,94518,615000,3,2.0,Concord,1434,8050,1962,5,429,,Sold,,,http://www.redfin.com/CA/Concord/944-Mohr-Ln-94518/home/1567010,EBRD/CCAR/Bay East,40767959,N,Y,37.939421,-122.04532
PAST SALE,February-24-2017,Single Family Residential,55 Wharf Dr,Bay Point,CA,94565,310000,3,1.0,Shore Acres,955,5000,1953,9,325,,Sold,,,http://www.redfin.com/CA/Bay-Point/55-Wharf-Dr-94565/home/1391925,EBRD/CCAR/Bay East,40768392,N,Y,38.0369712,-121.9763033
PAST SALE,February-27-2017,Condo/Co-op,1632 S Villa Way,Walnut Creek,CA,94595,375000,1,1.0,The Villas Ii,670,,1991,6,560,260,Sold,,,http://www.redfin.com/CA/Walnut-Creek/1632-S-Villa-Way-94595/unit-328/home/1733528,EBRD/CCAR/Bay East,40768573,N,Y,37.888513,-122.071043
PAST SALE,February-14-2017,Single Family Residential,1709 Bermuda Way,Antioch,CA,94509,325000,3,2.0,Antioch,1670,7350,1980,19,195,,Sold,,,http://www.redfin.com/CA/Antioch/1709-Bermuda-Way-94509/home/572010,EBRD/CCAR/Bay East,40768613,N,Y,38.0046344,-121.7803643
PAST SALE,,Single Family Residential,574 Maureen Ln,Pleasant Hill,CA,94523,157000,4,3.0,,2154,9272,1956,,73,,,,,http://www.redfin.com/CA/Pleasant-Hill/574-Maureen-Ln-94523/home/1921960,,,N,Y,37.95114,-122.0796789
PAST SALE,February-22-2017,Condo/Co-op,1133 MEADOW Ln #58,Concord,CA,94520,162000,1,1.0,Shamrock,722,,1972,11,224,390,Sold,,,http://www.redfin.com/CA/Concord/1133-Meadow-Ln-94520/unit-58/home/766936,EBRD/CCAR/Bay East,40762740,N,Y,37.9576492,-122.0411055
PAST SALE,February-21-2017,Condo/Co-op,140 Reflections Dr #11,San Ramon,CA,94583,365000,1,1.0,Reflections,624,,1988,12,585,297,Sold,,,http://www.redfin.com/CA/San-Ramon/140-Reflections-Dr-94583/unit-11/home/12127910,EBRD/CCAR/Bay East,40767609,N,Y,37.7633054,-121.9495169
PAST SALE,February-3-2017,Single Family Residential,817 W 11Th St,Antioch,CA,94509,253000,2,1.0,Antioch,857,4510,1943,30,295,,Sold,,,http://www.redfin.com/CA/Antioch/817-W-11th-St-94509/home/600841,EBRD/CCAR/Bay East,40764146,N,Y,38.010004,-121.816584
